GEO_ID,NAME,B28002_001E,B28002_013E
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!No Internet access
42003451102,"Census Tract 4511.02, Allegheny County, Pennsylvania",2004,296
42003451104,"Census Tract 4511.04, Allegheny County, Pennsylvania",1282,83
42003451105,"Census Tract 4511.05, Allegheny County, Pennsylvania",2189,380
42003451300,"Census Tract 4513, Allegheny County, Pennsylvania",2731,208
42003452000,"Census Tract 4520, Allegheny County, Pennsylvania",2224,260
42003453003,"Census Tract 4530.03, Allegheny County, Pennsylvania",755,127
42003453004,"Census Tract 4530.04, Allegheny County, Pennsylvania",3195,278
42003455000,"Census Tract 4550, Allegheny County, Pennsylvania",651,95
42003456001,"Census Tract 4560.01, Allegheny County, Pennsylvania",1284,114
42003456003,"Census Tract 4560.03, Allegheny County, Pennsylvania",2629,252
42003456004,"Census Tract 4560.04, Allegheny County, Pennsylvania",2128,445
42003457100,"Census Tract 4571, Allegheny County, Pennsylvania",760,200
42003457200,"Census Tract 4572, Allegheny County, Pennsylvania",1768,427
42003458000,"Census Tract 4580, Allegheny County, Pennsylvania",3762,584
42003459101,"Census Tract 4591.01, Allegheny County, Pennsylvania",683,100
42003459102,"Census Tract 4591.02, Allegheny County, Pennsylvania",2494,75
42003459201,"Census Tract 4592.01, Allegheny County, Pennsylvania",2847,409
42003459202,"Census Tract 4592.02, Allegheny County, Pennsylvania",490,68
42003460001,"Census Tract 4600.01, Allegheny County, Pennsylvania",2041,388
42003460002,"Census Tract 4600.02, Allegheny County, Pennsylvania",1425,254
42003461000,"Census Tract 4610, Allegheny County, Pennsylvania",612,115
42003462100,"Census Tract 4621, Allegheny County, Pennsylvania",1106,373
42003462600,"Census Tract 4626, Allegheny County, Pennsylvania",1433,383
42003463900,"Census Tract 4639, Allegheny County, Pennsylvania",1240,267
42003464300,"Census Tract 4643, Allegheny County, Pennsylvania",1606,312
42003464400,"Census Tract 4644, Allegheny County, Pennsylvania",1584,612
42003465600,"Census Tract 4656, Allegheny County, Pennsylvania",1237,273
42003465800,"Census Tract 4658, Allegheny County, Pennsylvania",1563,254
42003468700,"Census Tract 4687, Allegheny County, Pennsylvania",769,145
42003468800,"Census Tract 4688, Allegheny County, Pennsylvania",1223,201
42003468900,"Census Tract 4689, Allegheny County, Pennsylvania",1887,386
42003469000,"Census Tract 4690, Allegheny County, Pennsylvania",2091,267
42003470300,"Census Tract 4703, Allegheny County, Pennsylvania",1758,295
42003470400,"Census Tract 4704, Allegheny County, Pennsylvania",1340,194
42003470501,"Census Tract 4705.01, Allegheny County, Pennsylvania",1974,132
42003470502,"Census Tract 4705.02, Allegheny County, Pennsylvania",1300,112
42003470600,"Census Tract 4706, Allegheny County, Pennsylvania",1442,405
42003471000,"Census Tract 4710, Allegheny County, Pennsylvania",628,162
42003472100,"Census Tract 4721, Allegheny County, Pennsylvania",1248,132
42003472200,"Census Tract 4722, Allegheny County, Pennsylvania",1050,100
42003472300,"Census Tract 4723, Allegheny County, Pennsylvania",966,120
42003472400,"Census Tract 4724, Allegheny County, Pennsylvania",753,56
42003473100,"Census Tract 4731, Allegheny County, Pennsylvania",2165,470
42003473200,"Census Tract 4732, Allegheny County, Pennsylvania",1551,249
42003473300,"Census Tract 4733, Allegheny County, Pennsylvania",2189,363
42003473401,"Census Tract 4734.01, Allegheny County, Pennsylvania",1546,192
42003473402,"Census Tract 4734.02, Allegheny County, Pennsylvania",1517,155
42003473500,"Census Tract 4735, Allegheny County, Pennsylvania",1287,48
42003473601,"Census Tract 4736.01, Allegheny County, Pennsylvania",1607,256
42003473602,"Census Tract 4736.02, Allegheny County, Pennsylvania",2047,265
42003474101,"Census Tract 4741.01, Allegheny County, Pennsylvania",1345,116
42003474102,"Census Tract 4741.02, Allegheny County, Pennsylvania",1361,149
42003474201,"Census Tract 4742.01, Allegheny County, Pennsylvania",899,40
42003474202,"Census Tract 4742.02, Allegheny County, Pennsylvania",1869,91
42003474203,"Census Tract 4742.03, Allegheny County, Pennsylvania",1669,32
42003475101,"Census Tract 4751.01, Allegheny County, Pennsylvania",2235,545
42003475102,"Census Tract 4751.02, Allegheny County, Pennsylvania",642,61
42003475200,"Census Tract 4752, Allegheny County, Pennsylvania",1915,189
42003475301,"Census Tract 4753.01, Allegheny County, Pennsylvania",2066,428
42003475303,"Census Tract 4753.03, Allegheny County, Pennsylvania",1570,119
42003475304,"Census Tract 4753.04, Allegheny County, Pennsylvania",2228,163
42003475401,"Census Tract 4754.01, Allegheny County, Pennsylvania",1587,243
42003475402,"Census Tract 4754.02, Allegheny County, Pennsylvania",1246,132
42003476100,"Census Tract 4761, Allegheny County, Pennsylvania",2443,338
42003476200,"Census Tract 4762, Allegheny County, Pennsylvania",1451,213
42003477100,"Census Tract 4771, Allegheny County, Pennsylvania",1531,148
42003477200,"Census Tract 4772, Allegheny County, Pennsylvania",1771,351
42003477300,"Census Tract 4773, Allegheny County, Pennsylvania",2538,452
42003478100,"Census Tract 4781, Allegheny County, Pennsylvania",1892,249
42003478200,"Census Tract 4782, Allegheny County, Pennsylvania",2084,276
42003479000,"Census Tract 4790, Allegheny County, Pennsylvania",859,116
42003480101,"Census Tract 4801.01, Allegheny County, Pennsylvania",2172,403
42003480102,"Census Tract 4801.02, Allegheny County, Pennsylvania",1273,279
42003480200,"Census Tract 4802, Allegheny County, Pennsylvania",1316,188
42003480300,"Census Tract 4803, Allegheny County, Pennsylvania",1382,194
42003480400,"Census Tract 4804, Allegheny County, Pennsylvania",2074,360
42003481000,"Census Tract 4810, Allegheny County, Pennsylvania",1250,380
42003482500,"Census Tract 4825, Allegheny County, Pennsylvania",818,160
42003483800,"Census Tract 4838, Allegheny County, Pennsylvania",1395,520
42003484300,"Census Tract 4843, Allegheny County, Pennsylvania",1387,324
42003484500,"Census Tract 4845, Allegheny County, Pennsylvania",2664,492
42003484600,"Census Tract 4846, Allegheny County, Pennsylvania",1046,312
42003485000,"Census Tract 4850, Allegheny County, Pennsylvania",526,116
42003486700,"Census Tract 4867, Allegheny County, Pennsylvania",1019,352
42003486800,"Census Tract 4868, Allegheny County, Pennsylvania",721,249
42003486900,"Census Tract 4869, Allegheny County, Pennsylvania",540,164
42003487000,"Census Tract 4870, Allegheny County, Pennsylvania",912,208
42003488100,"Census Tract 4881, Allegheny County, Pennsylvania",922,248
42003488200,"Census Tract 4882, Allegheny County, Pennsylvania",1284,395
42003488300,"Census Tract 4883, Allegheny County, Pennsylvania",934,203
42003488400,"Census Tract 4884, Allegheny County, Pennsylvania",2122,388
42003488500,"Census Tract 4885, Allegheny County, Pennsylvania",1265,177
42003488600,"Census Tract 4886, Allegheny County, Pennsylvania",2185,403
42003489001,"Census Tract 4890.01, Allegheny County, Pennsylvania",2068,433
42003489002,"Census Tract 4890.02, Allegheny County, Pennsylvania",1532,186
42003490002,"Census Tract 4900.02, Allegheny County, Pennsylvania",2130,251
42003490003,"Census Tract 4900.03, Allegheny County, Pennsylvania",1479,112
42003490004,"Census Tract 4900.04, Allegheny County, Pennsylvania",1915,108
42003491101,"Census Tract 4911.01, Allegheny County, Pennsylvania",2567,215
42003491200,"Census Tract 4912, Allegheny County, Pennsylvania",881,98
42003492700,"Census Tract 4927, Allegheny County, Pennsylvania",857,222
42003492800,"Census Tract 4928, Allegheny County, Pennsylvania",1220,570
42003492900,"Census Tract 4929, Allegheny County, Pennsylvania",914,158
42003494000,"Census Tract 4940, Allegheny County, Pennsylvania",636,175
42003495000,"Census Tract 4950, Allegheny County, Pennsylvania",1499,386
42003496101,"Census Tract 4961.01, Allegheny County, Pennsylvania",1222,211
42003496102,"Census Tract 4961.02, Allegheny County, Pennsylvania",1854,318
42003496200,"Census Tract 4962, Allegheny County, Pennsylvania",2429,407
42003497000,"Census Tract 4970, Allegheny County, Pennsylvania",467,82
42003498000,"Census Tract 4980, Allegheny County, Pennsylvania",1139,199
42003499300,"Census Tract 4993, Allegheny County, Pennsylvania",731,166
42003499400,"Census Tract 4994, Allegheny County, Pennsylvania",1298,367
42003500300,"Census Tract 5003, Allegheny County, Pennsylvania",1856,613
42003501000,"Census Tract 5010, Allegheny County, Pennsylvania",812,262
42003503002,"Census Tract 5030.02, Allegheny County, Pennsylvania",2777,615
42003504100,"Census Tract 5041, Allegheny County, Pennsylvania",2340,553
42003507000,"Census Tract 5070, Allegheny County, Pennsylvania",975,251
42003508000,"Census Tract 5080, Allegheny County, Pennsylvania",937,251
42003509400,"Census Tract 5094, Allegheny County, Pennsylvania",2442,573
42003510000,"Census Tract 5100, Allegheny County, Pennsylvania",797,327
42003512000,"Census Tract 5120, Allegheny County, Pennsylvania",1116,362
42003512800,"Census Tract 5128, Allegheny County, Pennsylvania",611,195
42003512900,"Census Tract 5129, Allegheny County, Pennsylvania",510,172
